year,week,fin_mark,catch,catch_original,notes
2009,41,UM,6,6,NA
2009,42,AD,0,NA,NA
2009,42,UM,0,NA,NA
2009,43,AD,0,NA,NA
2009,43,UM,0,NA,NA
2009,44,AD,0,NA,NA
2009,44,UM,0,NA,NA
2009,45,AD,0,NA,NA
2009,45,UM,0,NA,NA
2009,46,AD,0,NA,NA
2009,46,UM,0,NA,NA
2010,29,AD,0,NA,NA
2010,29,UM,0,NA,NA
2010,30,AD,0,NA,NA
2010,30,UM,0,NA,NA
2010,31,AD,0,NA,NA
2010,31,UM,0,NA,NA
2010,32,AD,348,348,NA
2010,32,UM,25,25,NA
2010,33,AD,660,660,NA
2010,33,UM,53,53,NA
2010,34,AD,1622,1622,NA
2010,34,UM,145,145,NA
2010,35,AD,1191,1191,NA
2010,35,UM,123,123,NA
2010,36,AD,976,976,NA
2010,36,UM,113,113,NA
2010,37,AD,0,NA,NA
2010,37,UM,0,NA,NA
2010,38,AD,926,926,NA
2010,38,UM,112,112,NA
2010,39,AD,0,NA,NA
2010,39,UM,0,NA,NA
2010,40,AD,666,666,NA
2010,40,UM,91,91,NA
2010,41,AD,195,195,NA
2010,41,UM,43,43,NA
2010,42,AD,31,31,NA
2010,42,UM,8,8,NA
2010,43,AD,0,NA,NA
2010,43,UM,0,NA,NA
2010,44,AD,0,NA,NA
2010,44,UM,0,NA,NA
2010,45,AD,0,NA,NA
2010,45,UM,0,NA,NA
2010,46,AD,0,NA,NA
2010,46,UM,0,NA,NA
2011,29,AD,0,NA,NA
2011,29,UM,0,NA,NA
2011,30,AD,0,NA,NA
2011,30,UM,0,NA,NA
2011,31,AD,191,191,NA
2011,31,UM,15,15,NA
2011,32,AD,264,264,NA
2011,32,UM,24,24,NA
2011,33,AD,364,364,NA
2011,33,UM,48,48,NA
2011,34,AD,572,572,NA
2011,34,UM,47,47,NA
2011,35,AD,445,445,NA
2011,35,UM,52,52,NA
2011,36,AD,491,491,NA
2011,36,UM,72,72,NA
2011,37,AD,654,654,NA
2011,37,UM,89,89,NA
2011,38,AD,0,NA,NA
2011,38,UM,0,NA,NA
2011,39,AD,0,NA,NA
2011,39,UM,0,NA,NA
2011,40,AD,0,NA,NA
2011,40,UM,0,NA,NA
2011,41,AD,0,NA,NA
2011,41,UM,0,NA,NA
2011,42,AD,0,NA,NA
2011,42,UM,0,NA,NA
2011,43,AD,0,NA,NA
2011,43,UM,0,NA,NA
2011,44,AD,0,NA,NA
2011,44,UM,0,NA,NA
2011,45,AD,0,NA,NA
2011,45,UM,0,NA,NA
2011,46,AD,0,NA,NA
2011,46,UM,0,NA,NA
2012,29,AD,0,NA,NA
2012,29,UM,0,NA,NA
2012,30,AD,7,7,NA
2012,30,UM,6,6,NA
2012,31,AD,24,24,NA
2012,31,UM,3,3,NA
2012,32,AD,101,101,NA
2012,32,UM,11,11,NA
2012,33,AD,539,539,NA
2012,33,UM,47,47,NA
2012,34,AD,686,686,NA
2012,34,UM,67,67,NA
2012,35,AD,1150,1150,NA
2012,35,UM,131,131,NA
2012,36,AD,0,NA,NA
2012,36,UM,0,NA,NA
2012,37,AD,0,NA,NA
2012,37,UM,0,NA,NA
2012,38,AD,0,NA,NA
2012,38,UM,0,NA,NA
2012,39,AD,0,NA,NA
2012,39,UM,0,NA,NA
2012,40,AD,0,NA,NA
2012,40,UM,0,NA,NA
2012,41,AD,198,198,NA
2012,41,UM,32,32,NA
2012,42,AD,11,11,NA
2012,42,UM,3,3,NA
2012,43,AD,8,8,NA
2012,43,UM,7,7,NA
2012,44,AD,2,2,NA
2012,44,UM,0,0,NA
2012,45,AD,0,NA,NA
2012,45,UM,0,NA,NA
2012,46,AD,0,NA,NA
2012,46,UM,0,NA,NA
2013,29,AD,0,NA,NA
2013,29,UM,0,NA,NA
2013,30,AD,0,NA,NA
2013,30,UM,0,NA,NA
2013,31,AD,106,106,NA
2013,31,UM,10,10,NA
2013,32,AD,402,402,NA
2013,32,UM,43,43,NA
2013,33,AD,773,773,NA
2013,33,UM,75,75,NA
2013,34,AD,1226,1226,NA
2013,34,UM,136,136,NA
2013,35,AD,1522,1522,NA
2013,35,UM,191,191,NA
2013,36,AD,0,NA,NA
2013,36,UM,0,NA,NA
2013,37,AD,0,NA,NA
2013,37,UM,0,NA,NA
2013,38,AD,0,NA,NA
2013,38,UM,0,NA,NA
2013,39,AD,0,NA,NA
2013,39,UM,0,NA,NA
2013,40,AD,0,NA,NA
2013,40,UM,0,NA,NA
2013,41,AD,9,9,NA
2013,41,UM,1,1,NA
2013,42,AD,4,4,NA
2013,42,UM,2,2,NA
2013,43,AD,0,0,NA
2013,43,UM,1,1,NA
2013,44,AD,0,0,NA
2013,44,UM,2,2,NA
2013,45,AD,0,NA,NA
2013,45,UM,0,NA,NA
2013,46,AD,0,NA,NA
2013,46,UM,0,NA,NA
2014,29,AD,0,NA,NA
2014,29,UM,0,NA,NA
2014,30,AD,0,NA,NA
2014,30,UM,0,NA,NA
2014,31,AD,20,20,NA
2014,31,UM,4,4,NA
2014,32,AD,56,56,NA
2014,32,UM,11,11,NA
2014,33,AD,176,176,NA
2014,33,UM,20,20,NA
2014,34,AD,496,496,NA
2014,34,UM,40,40,NA
2014,35,AD,548,548,NA
2014,35,UM,86,86,NA
2014,36,AD,0,NA,NA
2014,36,UM,0,NA,NA
2014,37,AD,0,NA,NA
2014,37,UM,0,NA,NA
2014,38,AD,0,NA,NA
2014,38,UM,0,NA,NA
2014,39,AD,0,NA,NA
2014,39,UM,0,NA,NA
2014,40,AD,0,NA,NA
2014,40,UM,0,NA,NA
2014,41,AD,0,NA,NA
2014,41,UM,0,NA,NA
2014,42,AD,38,38,NA
2014,42,UM,1,1,NA
2014,43,AD,1,1,NA
2014,43,UM,0,0,NA
2014,44,AD,0,NA,NA
2014,44,UM,0,NA,NA
2014,45,AD,0,NA,NA
2014,45,UM,0,NA,NA
2014,46,AD,0,NA,NA
2014,46,UM,0,NA,NA
2015,29,AD,0,NA,NA
2015,29,UM,0,NA,NA
2015,30,AD,0,NA,NA
2015,30,UM,0,NA,NA
2015,31,AD,79,79,NA
2015,31,UM,11,11,NA
2015,32,AD,184,184,NA
2015,32,UM,20,20,NA
2015,33,AD,208,208,NA
2015,33,UM,11,11,NA
2015,34,AD,523,523,NA
2015,34,UM,71,71,NA
2015,35,AD,500,500,NA
2015,35,UM,46,46,NA
2015,36,AD,0,NA,NA
2015,36,UM,0,NA,NA
2015,37,AD,0,NA,NA
2015,37,UM,0,NA,NA
2015,38,AD,0,NA,NA
2015,38,UM,0,NA,NA
2015,39,AD,0,NA,NA
2015,39,UM,0,NA,NA
2015,40,AD,0,NA,NA
2015,40,UM,0,NA,NA
2015,41,AD,0,NA,NA
2015,41,UM,0,NA,NA
2015,42,AD,59,59,NA
2015,42,UM,37,37,NA
2015,43,AD,2,2,NA
2015,43,UM,1,1,NA
2015,44,AD,1,1,NA
2015,44,UM,8,8,NA
2015,45,AD,0,NA,NA
2015,45,UM,0,NA,NA
2015,46,AD,0,NA,NA
2015,46,UM,0,NA,NA
2016,29,AD,0,NA,NA
2016,29,UM,0,NA,NA
2016,30,AD,0,NA,NA
2016,30,UM,0,NA,NA
2016,31,AD,63,63,NA
2016,31,UM,10,10,NA
2016,32,AD,170,170,NA
2016,32,UM,17,17,NA
2016,33,AD,289,289,NA
2016,33,UM,45,45,NA
2016,34,AD,567,567,NA
2016,34,UM,61,61,NA
2016,35,AD,139,139,NA
2016,35,UM,102,102,NA
2016,36,AD,0,NA,NA
2016,36,UM,0,NA,NA
2016,37,AD,0,NA,NA
2016,37,UM,0,NA,NA
2016,38,AD,0,NA,NA
2016,38,UM,0,NA,NA
2016,39,AD,0,NA,NA
2016,39,UM,0,NA,NA
2016,40,AD,0,NA,NA
2016,40,UM,0,NA,NA
2016,41,AD,0,NA,NA
2016,41,UM,0,NA,NA
2016,42,AD,0,NA,NA
2016,42,UM,0,NA,NA
2016,43,AD,0,NA,NA
2016,43,UM,0,NA,NA
2016,44,AD,1,1,NA
2016,44,UM,1,1,NA
2016,45,AD,0,NA,NA
2016,45,UM,0,NA,NA
2016,46,AD,0,NA,NA
2016,46,UM,0,NA,NA
2017,29,AD,0,NA,NA
2017,29,UM,0,NA,NA
2017,30,AD,0,NA,NA
2017,30,UM,0,NA,NA
2017,31,AD,0,NA,NA
2017,31,UM,0,NA,NA
2017,32,AD,0,NA,NA
2017,32,UM,0,NA,NA
2017,33,AD,881,881,NA
2017,33,UM,99,99,NA
2017,34,AD,1174,1174,NA
2017,34,UM,139,139,NA
2017,35,AD,1455,1455,NA
2017,35,UM,170,170,NA
2017,36,AD,1055,1055,NA
2017,36,UM,130,130,NA
2017,37,AD,0,NA,NA
2017,37,UM,0,NA,NA
2017,38,AD,0,NA,NA
2017,38,UM,0,NA,NA
2017,39,AD,0,NA,NA
2017,39,UM,0,NA,NA
2017,40,AD,388,388,NA
2017,40,UM,71,71,NA
2017,41,AD,111,111,NA
2017,41,UM,23,23,NA
2017,42,AD,4,4,NA
2017,42,UM,5,5,NA
2017,43,AD,2,2,NA
2017,43,UM,2,2,NA
2017,44,AD,0,0,NA
2017,44,UM,4,4,NA
2017,45,AD,0,0,NA
2017,45,UM,1,1,NA
2017,46,AD,0,0,NA
2017,46,UM,1,1,NA
2018,29,AD,0,NA,NA
2018,29,UM,0,NA,NA
2018,30,AD,0,NA,NA
2018,30,UM,0,NA,NA
2018,31,AD,0,NA,NA
2018,31,UM,0,NA,NA
2018,32,AD,110,110,NA
2018,32,UM,12,12,NA
2018,33,AD,520,520,NA
2018,33,UM,36,36,NA
2018,34,AD,584,584,NA
2018,34,UM,44,44,NA
2018,35,AD,896,896,NA
2018,35,UM,90,90,NA
2018,36,AD,917,917,NA
2018,36,UM,74,74,NA
2018,37,AD,0,NA,NA
2018,37,UM,0,NA,NA
2018,38,AD,0,NA,NA
2018,38,UM,0,NA,NA
2018,39,AD,0,NA,NA
2018,39,UM,0,NA,NA
2018,40,AD,0,NA,NA
2018,40,UM,0,NA,NA
2018,41,AD,40,40,NA
2018,41,UM,25,25,NA
2018,42,AD,4,4,NA
2018,42,UM,2,2,NA
2018,43,AD,1,1,NA
2018,43,UM,2,2,NA
2018,44,AD,0,NA,NA
2018,44,UM,0,NA,NA
2018,45,AD,0,NA,NA
2018,45,UM,0,NA,NA
2018,46,AD,0,NA,NA
2018,46,UM,0,NA,NA
2019,29,AD,0,NA,NA
2019,29,UM,0,NA,NA
2019,30,AD,0,NA,NA
2019,30,UM,0,NA,NA
2019,31,AD,0,NA,NA
2019,31,UM,0,NA,NA
2019,32,AD,82,82,NA
2019,32,UM,6,6,NA
2019,33,AD,220,220,NA
2019,33,UM,15,15,NA
2019,34,AD,928,928,NA
2019,34,UM,91,91,NA
2019,35,AD,869,869,NA
2019,35,UM,106,106,NA
2019,36,AD,951,951,NA
2019,36,UM,127,127,NA
2019,37,AD,0,NA,NA
2019,37,UM,0,NA,NA
2019,38,AD,0,NA,NA
2019,38,UM,0,NA,NA
2019,39,AD,0,NA,NA
2019,39,UM,0,NA,NA
2019,40,AD,0,NA,NA
2019,40,UM,0,NA,NA
2019,41,AD,37,37,NA
2019,41,UM,3,3,NA
2019,42,AD,0,NA,NA
2019,42,UM,0,NA,NA
2019,43,AD,0,NA,NA
2019,43,UM,0,NA,NA
2019,44,AD,0,NA,NA
2019,44,UM,0,NA,NA
2019,45,AD,0,NA,NA
2019,45,UM,0,NA,NA
2019,46,AD,0,NA,NA
2019,46,UM,0,NA,NA
2020,29,AD,0,NA,NA
2020,29,UM,0,NA,NA
2020,30,AD,0,NA,NA
2020,30,UM,0,NA,NA
2020,31,AD,0,NA,NA
2020,31,UM,0,NA,NA
2020,32,AD,42,42,NA
2020,32,UM,7,7,NA
2020,33,AD,120,120,NA
2020,33,UM,15,15,NA
2020,34,AD,167,167,NA
2020,34,UM,23,23,NA
2020,35,AD,509,509,NA
2020,35,UM,92,92,NA
2020,36,AD,221,221,NA
2020,36,UM,40,40,NA
2020,37,AD,0,NA,NA
2020,37,UM,0,NA,NA
2020,38,AD,0,NA,NA
2020,38,UM,0,NA,NA
2020,39,AD,0,NA,NA
2020,39,UM,0,NA,NA
2020,40,AD,0,NA,NA
2020,40,UM,0,NA,NA
