interview_id,life_stage,fin_mark,event_date,year,month,fishing_duration_minutes,angler_count,angler_minutes,trip_status,trip_guided,boat_type,boat_used,fishing_start_time,fishing_end_time,fish_count,had.ad,had.um,had.release,had.kept,um_total,ad_total,doy,yearfac,round_cat1,round_cat2,interview_id_fac,mark_stage,fishing_med_hrs,fishing_start_hrs
4F5AD6E6-9B50-4E82-8B31-0BC286AB7819,Jack,UM,2021-09-20,2021,9,422,1,422,Complete,NA,NA,No,07:30:00,14:32:00,0,TRUE,FALSE,FALSE,TRUE,0,1,263,2021,NA,NA,4F5AD6E6-9B50-4E82-8B31-0BC286AB7819,UM X Jack,11.016666666666667,7.5
4F6CA7BE-6FF5-4AEC-BF3C-45F8E61142C9,Adult,AD,2022-09-17,2022,9,526,2,1052,Complete,NA,NA,No,06:30:00,15:16:00,1,TRUE,FALSE,FALSE,TRUE,0,2,260,2022,NA,NA,4F6CA7BE-6FF5-4AEC-BF3C-45F8E61142C9,AD X Adult,10.883333333333333,6.5
4F6CA7BE-6FF5-4AEC-BF3C-45F8E61142C9,Adult,UM,2022-09-17,2022,9,526,2,1052,Complete,NA,NA,No,06:30:00,15:16:00,0,TRUE,FALSE,FALSE,TRUE,0,2,260,2022,NA,NA,4F6CA7BE-6FF5-4AEC-BF3C-45F8E61142C9,UM X Adult,10.883333333333333,6.5
4F6CA7BE-6FF5-4AEC-BF3C-45F8E61142C9,Jack,AD,2022-09-17,2022,9,526,2,1052,Complete,NA,NA,No,06:30:00,15:16:00,1,TRUE,FALSE,FALSE,TRUE,0,2,260,2022,NA,NA,4F6CA7BE-6FF5-4AEC-BF3C-45F8E61142C9,AD X Jack,10.883333333333333,6.5
4F6CA7BE-6FF5-4AEC-BF3C-45F8E61142C9,Jack,UM,2022-09-17,2022,9,526,2,1052,Complete,NA,NA,No,06:30:00,15:16:00,0,TRUE,FALSE,FALSE,TRUE,0,2,260,2022,NA,NA,4F6CA7BE-6FF5-4AEC-BF3C-45F8E61142C9,UM X Jack,10.883333333333333,6.5
4F7019A5-A3C1-4FB2-A329-FD5B226FB474,Adult,AD,2021-08-31,2021,8,120,1,120,Complete,NA,NA,No,13:00:00,15:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,243,2021,NA,NA,4F7019A5-A3C1-4FB2-A329-FD5B226FB474,AD X Adult,14,13
4F7019A5-A3C1-4FB2-A329-FD5B226FB474,Adult,UM,2021-08-31,2021,8,120,1,120,Complete,NA,NA,No,13:00:00,15:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,243,2021,NA,NA,4F7019A5-A3C1-4FB2-A329-FD5B226FB474,UM X Adult,14,13
4F7019A5-A3C1-4FB2-A329-FD5B226FB474,Jack,AD,2021-08-31,2021,8,120,1,120,Complete,NA,NA,No,13:00:00,15:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,243,2021,NA,NA,4F7019A5-A3C1-4FB2-A329-FD5B226FB474,AD X Jack,14,13
4F7019A5-A3C1-4FB2-A329-FD5B226FB474,Jack,UM,2021-08-31,2021,8,120,1,120,Complete,NA,NA,No,13:00:00,15:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,243,2021,NA,NA,4F7019A5-A3C1-4FB2-A329-FD5B226FB474,UM X Jack,14,13
4F71601B-BB12-4537-AACF-5788FADB8237,Adult,AD,2023-09-19,2023,9,239,1,239,Complete,NA,NA,No,06:00:00,09:59:00,0,FALSE,FALSE,FALSE,FALSE,0,0,262,2023,NA,NA,4F71601B-BB12-4537-AACF-5788FADB8237,AD X Adult,7.983333333333333,6
4F71601B-BB12-4537-AACF-5788FADB8237,Adult,UM,2023-09-19,2023,9,239,1,239,Complete,NA,NA,No,06:00:00,09:59:00,0,FALSE,FALSE,FALSE,FALSE,0,0,262,2023,NA,NA,4F71601B-BB12-4537-AACF-5788FADB8237,UM X Adult,7.983333333333333,6
4F71601B-BB12-4537-AACF-5788FADB8237,Jack,AD,2023-09-19,2023,9,239,1,239,Complete,NA,NA,No,06:00:00,09:59:00,0,FALSE,FALSE,FALSE,FALSE,0,0,262,2023,NA,NA,4F71601B-BB12-4537-AACF-5788FADB8237,AD X Jack,7.983333333333333,6
4F71601B-BB12-4537-AACF-5788FADB8237,Jack,UM,2023-09-19,2023,9,239,1,239,Complete,NA,NA,No,06:00:00,09:59:00,0,FALSE,FALSE,FALSE,FALSE,0,0,262,2023,NA,NA,4F71601B-BB12-4537-AACF-5788FADB8237,UM X Jack,7.983333333333333,6
4F76AC63-4E2A-485D-9A9E-8574E73DA167,Adult,AD,2022-08-13,2022,8,134,1,134,Complete,NA,NA,No,12:30:00,14:44:00,0,FALSE,FALSE,FALSE,FALSE,0,0,225,2022,NA,NA,4F76AC63-4E2A-485D-9A9E-8574E73DA167,AD X Adult,13.616666666666667,12.5
4F76AC63-4E2A-485D-9A9E-8574E73DA167,Adult,UM,2022-08-13,2022,8,134,1,134,Complete,NA,NA,No,12:30:00,14:44:00,0,FALSE,FALSE,FALSE,FALSE,0,0,225,2022,NA,NA,4F76AC63-4E2A-485D-9A9E-8574E73DA167,UM X Adult,13.616666666666667,12.5
4F76AC63-4E2A-485D-9A9E-8574E73DA167,Jack,AD,2022-08-13,2022,8,134,1,134,Complete,NA,NA,No,12:30:00,14:44:00,0,FALSE,FALSE,FALSE,FALSE,0,0,225,2022,NA,NA,4F76AC63-4E2A-485D-9A9E-8574E73DA167,AD X Jack,13.616666666666667,12.5
4F76AC63-4E2A-485D-9A9E-8574E73DA167,Jack,UM,2022-08-13,2022,8,134,1,134,Complete,NA,NA,No,12:30:00,14:44:00,0,FALSE,FALSE,FALSE,FALSE,0,0,225,2022,NA,NA,4F76AC63-4E2A-485D-9A9E-8574E73DA167,UM X Jack,13.616666666666667,12.5
4F7D348C-B8DA-438C-8FF5-32FA5742386C,Adult,AD,2022-08-20,2022,8,818,1,818,Complete,NA,NA,No,07:00:00,20:38:00,0,FALSE,FALSE,FALSE,FALSE,0,0,232,2022,NA,NA,4F7D348C-B8DA-438C-8FF5-32FA5742386C,AD X Adult,13.816666666666666,7
4F7D348C-B8DA-438C-8FF5-32FA5742386C,Adult,UM,2022-08-20,2022,8,818,1,818,Complete,NA,NA,No,07:00:00,20:38:00,0,FALSE,FALSE,FALSE,FALSE,0,0,232,2022,NA,NA,4F7D348C-B8DA-438C-8FF5-32FA5742386C,UM X Adult,13.816666666666666,7
4F7D348C-B8DA-438C-8FF5-32FA5742386C,Jack,AD,2022-08-20,2022,8,818,1,818,Complete,NA,NA,No,07:00:00,20:38:00,0,FALSE,FALSE,FALSE,FALSE,0,0,232,2022,NA,NA,4F7D348C-B8DA-438C-8FF5-32FA5742386C,AD X Jack,13.816666666666666,7
4F7D348C-B8DA-438C-8FF5-32FA5742386C,Jack,UM,2022-08-20,2022,8,818,1,818,Complete,NA,NA,No,07:00:00,20:38:00,0,FALSE,FALSE,FALSE,FALSE,0,0,232,2022,NA,NA,4F7D348C-B8DA-438C-8FF5-32FA5742386C,UM X Jack,13.816666666666666,7
4F7F59EB-6C5A-440D-916C-8DA105102C68,Adult,AD,2023-10-06,2023,10,160,2,320,Complete,NA,NA,No,06:17:00,08:57:00,0,FALSE,FALSE,FALSE,FALSE,0,0,279,2023,NA,NA,4F7F59EB-6C5A-440D-916C-8DA105102C68,AD X Adult,7.616666666666667,6.283333333333333
4F7F59EB-6C5A-440D-916C-8DA105102C68,Adult,UM,2023-10-06,2023,10,160,2,320,Complete,NA,NA,No,06:17:00,08:57:00,0,FALSE,FALSE,FALSE,FALSE,0,0,279,2023,NA,NA,4F7F59EB-6C5A-440D-916C-8DA105102C68,UM X Adult,7.616666666666667,6.283333333333333
4F7F59EB-6C5A-440D-916C-8DA105102C68,Jack,AD,2023-10-06,2023,10,160,2,320,Complete,NA,NA,No,06:17:00,08:57:00,0,FALSE,FALSE,FALSE,FALSE,0,0,279,2023,NA,NA,4F7F59EB-6C5A-440D-916C-8DA105102C68,AD X Jack,7.616666666666667,6.283333333333333
4F7F59EB-6C5A-440D-916C-8DA105102C68,Jack,UM,2023-10-06,2023,10,160,2,320,Complete,NA,NA,No,06:17:00,08:57:00,0,FALSE,FALSE,FALSE,FALSE,0,0,279,2023,NA,NA,4F7F59EB-6C5A-440D-916C-8DA105102C68,UM X Jack,7.616666666666667,6.283333333333333
4F8D66A2-1CAF-495B-B360-6AD303349E44,Adult,AD,2023-10-12,2023,10,93,1,93,Complete,NA,NA,No,15:30:00,17:03:00,0,FALSE,FALSE,FALSE,FALSE,0,0,285,2023,NA,NA,4F8D66A2-1CAF-495B-B360-6AD303349E44,AD X Adult,16.266666666666666,15.5
4F8D66A2-1CAF-495B-B360-6AD303349E44,Adult,UM,2023-10-12,2023,10,93,1,93,Complete,NA,NA,No,15:30:00,17:03:00,0,FALSE,FALSE,FALSE,FALSE,0,0,285,2023,NA,NA,4F8D66A2-1CAF-495B-B360-6AD303349E44,UM X Adult,16.266666666666666,15.5
4F8D66A2-1CAF-495B-B360-6AD303349E44,Jack,AD,2023-10-12,2023,10,93,1,93,Complete,NA,NA,No,15:30:00,17:03:00,0,FALSE,FALSE,FALSE,FALSE,0,0,285,2023,NA,NA,4F8D66A2-1CAF-495B-B360-6AD303349E44,AD X Jack,16.266666666666666,15.5
4F8D66A2-1CAF-495B-B360-6AD303349E44,Jack,UM,2023-10-12,2023,10,93,1,93,Complete,NA,NA,No,15:30:00,17:03:00,0,FALSE,FALSE,FALSE,FALSE,0,0,285,2023,NA,NA,4F8D66A2-1CAF-495B-B360-6AD303349E44,UM X Jack,16.266666666666666,15.5
4F975C70-5058-4704-8A52-272A296A74DE,Adult,AD,2023-09-07,2023,9,201,1,201,Complete,NA,NA,No,12:00:00,15:21:00,0,FALSE,FALSE,FALSE,FALSE,0,0,250,2023,NA,NA,4F975C70-5058-4704-8A52-272A296A74DE,AD X Adult,13.666666666666666,12
4F975C70-5058-4704-8A52-272A296A74DE,Adult,UM,2023-09-07,2023,9,201,1,201,Complete,NA,NA,No,12:00:00,15:21:00,0,FALSE,FALSE,FALSE,FALSE,0,0,250,2023,NA,NA,4F975C70-5058-4704-8A52-272A296A74DE,UM X Adult,13.666666666666666,12
4F975C70-5058-4704-8A52-272A296A74DE,Jack,AD,2023-09-07,2023,9,201,1,201,Complete,NA,NA,No,12:00:00,15:21:00,0,FALSE,FALSE,FALSE,FALSE,0,0,250,2023,NA,NA,4F975C70-5058-4704-8A52-272A296A74DE,AD X Jack,13.666666666666666,12
4F975C70-5058-4704-8A52-272A296A74DE,Jack,UM,2023-09-07,2023,9,201,1,201,Complete,NA,NA,No,12:00:00,15:21:00,0,FALSE,FALSE,FALSE,FALSE,0,0,250,2023,NA,NA,4F975C70-5058-4704-8A52-272A296A74DE,UM X Jack,13.666666666666666,12
4F9D8F1B-20A5-4045-8A5F-23733B3FF29C,Adult,AD,2021-08-12,2021,8,120,1,120,Complete,NA,NA,No,16:00:00,18:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,224,2021,NA,NA,4F9D8F1B-20A5-4045-8A5F-23733B3FF29C,AD X Adult,17,16
4F9D8F1B-20A5-4045-8A5F-23733B3FF29C,Adult,UM,2021-08-12,2021,8,120,1,120,Complete,NA,NA,No,16:00:00,18:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,224,2021,NA,NA,4F9D8F1B-20A5-4045-8A5F-23733B3FF29C,UM X Adult,17,16
4F9D8F1B-20A5-4045-8A5F-23733B3FF29C,Jack,AD,2021-08-12,2021,8,120,1,120,Complete,NA,NA,No,16:00:00,18:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,224,2021,NA,NA,4F9D8F1B-20A5-4045-8A5F-23733B3FF29C,AD X Jack,17,16
4F9D8F1B-20A5-4045-8A5F-23733B3FF29C,Jack,UM,2021-08-12,2021,8,120,1,120,Complete,NA,NA,No,16:00:00,18:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,224,2021,NA,NA,4F9D8F1B-20A5-4045-8A5F-23733B3FF29C,UM X Jack,17,16
4FAA471B-50BC-4E88-BD56-B6A1B59A6E86,Adult,AD,2023-09-22,2023,9,121,1,121,Complete,NA,NA,No,10:30:00,12:31:00,0,FALSE,FALSE,FALSE,FALSE,0,0,265,2023,NA,NA,4FAA471B-50BC-4E88-BD56-B6A1B59A6E86,AD X Adult,11.5,10.5
4FAA471B-50BC-4E88-BD56-B6A1B59A6E86,Adult,UM,2023-09-22,2023,9,121,1,121,Complete,NA,NA,No,10:30:00,12:31:00,0,FALSE,FALSE,FALSE,FALSE,0,0,265,2023,NA,NA,4FAA471B-50BC-4E88-BD56-B6A1B59A6E86,UM X Adult,11.5,10.5
4FAA471B-50BC-4E88-BD56-B6A1B59A6E86,Jack,AD,2023-09-22,2023,9,121,1,121,Complete,NA,NA,No,10:30:00,12:31:00,0,FALSE,FALSE,FALSE,FALSE,0,0,265,2023,NA,NA,4FAA471B-50BC-4E88-BD56-B6A1B59A6E86,AD X Jack,11.5,10.5
4FAA471B-50BC-4E88-BD56-B6A1B59A6E86,Jack,UM,2023-09-22,2023,9,121,1,121,Complete,NA,NA,No,10:30:00,12:31:00,0,FALSE,FALSE,FALSE,FALSE,0,0,265,2023,NA,NA,4FAA471B-50BC-4E88-BD56-B6A1B59A6E86,UM X Jack,11.5,10.5
