X2.5.,X10.,X50.,X90.,X97.5.,freq_significant
-20.25921569906963,-18.115426436959044,-0.2876820724531357,1.2186098535761993,2.079441540668796,0.08878504672897196
-19.29936146542715,-17.67047563943512,-0.2876820664270709,1.3862943611194862,2.07944154167943,0.06074766355140187
-19.971533626618655,-17.91298074709088,-0.4054651081053998,1.1556777942850702,2.07944154167943,0.08878504672897196
-19.81018708919456,-17.87292132300495,-0.4054651081053988,1.257487475584055,1.8642811233064003,0.06775700934579439
-19.85375059096253,-17.649777777989822,-0.2876820724517747,1.5040773967733057,2.36183959895091,0.08878504672897196
-19.971533626617564,-18.035523272223873,-0.40546510810816466,1.0986122886651417,1.791759469224885,0.08644859813084112
-20.259215699070126,-17.755138293647587,-0.4054651081081635,1.1448574926157276,2.2314667334642717,0.08878504672897196
-20.25921569195775,-17.91298074709095,-0.29891850037826034,1.2527629684939665,2.197224577330285,0.0911214953271028
-20.0057757942078,-17.755138293647057,-0.3465735902798616,1.098612288665972,2.197224565873615,0.07710280373831775
-19.971533626617237,-17.872921329303413,-0.4054651081053984,1.2527629684943822,1.7917594692280021,0.07242990654205607
-20.259215699070577,-18.263594878834226,-0.3122424711202088,1.2667189731848567,2.0794415401821946,0.10514018691588785
-20.065030297738566,-17.986733108048433,-0.40546510810539965,1.2527629684939678,2.117721028265957,0.08177570093457943
-19.12776454892179,-17.6046008131939,-0.4054651081054002,1.386294361119546,2.302585092993842,0.05841121495327103
-20.06503030016533,-18.06748948445526,-0.40546510810539943,1.2527629684939672,2.0794415416794307,0.09579439252336448
-20.259215696264356,-17.82462631926382,-0.4054651081105405,1.0986122886679066,2.228308206323902,0.102803738317757
-19.659565192059123,-17.806204203440856,-0.40546510810539893,1.2076995603238287,2.484906649784828,0.056074766355140186
-20.25921569907126,-17.718770649476895,-0.2876820724515783,1.3862943611196863,2.0149030205389717,0.08177570093457943
-20.390991856789572,-18.160603401755395,-0.40546510810816416,1.2876027250623392,2.2560149047387377,0.10046728971962617
-19.97153362664965,-17.761880150402348,-0.2876820724515797,1.3862943611194862,2.3184418963475526,0.0794392523364486
-19.697844678644557,-17.69059977250834,-0.31015492830154157,1.3862943611194862,2.484906649787745,0.0794392523364486
-20.076894142275123,-18.067489484454367,-0.40546510810539915,1.098612288667907,2.0149030205389726,0.05841121495327103
-20.259215699071166,-18.006452721929957,-0.40546510810539804,1.2527629684939674,1.9683328322594205,0.08411214953271028
-20.065030300166963,-17.872921329303882,-0.40546510810539826,0.9162907318728784,1.8217169847410513,0.06775700934579439
-19.65956519205779,-17.604600813192093,-0.2876820724515795,1.3862943611194862,2.0794415406687965,0.0630841121495327
-19.566068518510573,-17.36969105065623,-0.251314428279109,1.2527629684939674,2.197224577330285,0.04906542056074766
-19.566068518513628,-17.729680942727626,-0.4054651081079622,1.2527629684939676,2.0794415416794303,0.05841121495327103
-20.13614864823465,-17.872921329301814,-0.4054651081053986,1.386294361119486,2.231466744921005,0.08644859813084112
-20.259215698893936,-18.006452721928348,-0.37096867236330566,1.2527629684939676,2.0927086898973633,0.09345794392523364
-19.89203007754933,-18.05269792587716,-0.2968566415177387,1.2527629684939676,2.035878039421948,0.0794392523364486
-20.267924806451077,-17.965437442279995,-0.4054651081053988,1.252762968493967,2.197224577330284,0.07476635514018691
-19.566068518510956,-17.76188015040298,-0.40546510810816394,1.0986122886651426,1.8800304644947028,0.06542056074766354
-19.97153362661765,-17.72968094272877,-0.28768207245110433,1.386294361119486,2.0794415416794285,0.08644859813084112
-19.971533626615983,-17.736422799483396,-0.4054651081053984,1.3862943611173102,2.3947729597378493,0.08644859813084112
-19.659565192183507,-17.755138293646148,-0.405465108108063,1.1148324550490516,2.0794415416794294,0.06542056074766354
-20.136148645281377,-17.72968094377037,-0.40546510810668085,1.0986122886651417,1.7917594692280017,0.06074766355140187
-19.971533626618033,-17.872921329733483,-0.2989185003780428,1.0986122886679062,1.9459101490272261,0.06542056074766354
-19.971533622802962,-17.649777777987353,-0.40546510810539904,1.2039728043257907,2.0149030205389717,0.06074766355140187
-20.076894142586752,-17.904529484001785,-0.2876820724515783,1.0986122886658438,2.0149030205373863,0.08177570093457943
-20.259215692930812,-17.71877064947668,-0.40546510810539815,1.1987302214111628,2.223238457325197,0.08878504672897196
-19.56606851360309,-17.604600813192253,-0.22314355131260222,1.3862943611195462,2.23146674492094,0.06775700934579439
-20.39099186652647,-17.72968094272945,-0.4054651081053978,1.3862943611194862,2.1972245773302843,0.07476635514018691
-19.56606851864248,-17.718770649473818,-0.4054651081081641,1.321755839980408,2.1972245658736167,0.06542056074766354
-19.97153362661665,-18.02108977117946,-0.28768207245454464,1.3411173963222605,2.1972245773302834,0.08411214953271028
-19.56606851909151,-17.7187706494765,-0.40546510810539915,1.386294361119487,2.318441896335703,0.06542056074766354
-19.971533621774892,-17.904529484000495,-0.4700036292474441,1.109522581919369,2.375106747170405,0.10046728971962617
-20.136148648233732,-17.87292132930369,-0.2876820724515788,1.3862943611196863,2.231466744920939,0.09579439252336448
-20.00577578787569,-18.006452721929737,-0.4054651081091801,1.1753974081599523,2.0358780394233023,0.08878504672897196
-20.259215703085072,-17.988525760234353,-0.3324881517944519,1.386294361119486,2.13849189786629,0.08177570093457943
-19.853750590962424,-17.585239256851082,-0.31015492830197666,1.2063632552202515,2.197224577332145,0.0794392523364486
-20.136148648234666,-18.055242886094476,-0.40546510810816333,1.2527629684939674,2.117721022749782,0.08644859813084112
-19.56606851906343,-17.806204203440615,-0.28768207245158,1.09861228866746,2.079441541679429,0.06542056074766354
-19.971533621826303,-17.790473202795184,-0.4307829160946885,1.175397408161616,2.3184418963475544,0.09813084112149532
-19.97153362661932,-17.87292132930381,-0.4054651081079619,1.2527629684943211,2.3025850929925533,0.08644859813084112
-20.25921569626456,-17.904529486990175,-0.3810700260219651,1.098612288667907,2.0894423307443746,0.08878504672897196
-20.25921569402696,-18.021089773721798,-0.405465108108164,1.252762968493967,1.9459101490144755,0.09345794392523364
