um_to_um_diff,ad_to_um_diff,um_to_ad_diff,ad_to_ad_diff
-0.06971787021322146,0.07840508626088168,0.062049946073965793,-0.07073716212162598
-0.04868983283004388,0.024666768503872335,0.08074153485901252,-0.05671847053284094
-0.0720543188113523,0.03868546009265738,0.045694805887049904,-0.012325947168354954
0.0868241858615449,-0.09916500719706224,-0.0687911754213613,0.0811319967568787
0.012057830721357988,-0.00804351186995944,0.01298452551321813,-0.016998844364616638
-0.08140011320387566,0.07373218906462,0.05971349747583495,-0.052045573336579255
-0.004297309465557901,0.024666768503872335,-0.01037996046809028,-0.009989498570224114
-0.05569917862443641,0.08307798345714336,0.06905929186835831,-0.09643809670106523
-0.013643103858081266,0.01765742270947981,-0.0010341660755669164,-0.0029801527758315897
0.06813259707649817,-0.06411827822509962,-0.06645472682323046,0.06244040797183196
-0.006633758063688742,0.010648076915087288,0.03868546009265738,-0.04269977894405589
-0.011306655259950425,0.019993871307610652,0.01765742270947981,-0.02634463875714
-0.011306655259950425,-0.005707063271828599,-0.005707063271828599,0.022720781803607662
0.0027120363288346233,0.0340125628963957,-0.03841734364566037,0.001692744420430092
0.023740073712012193,-0.017389306262482803,-0.005707063271828599,-6.43704177700749e-4
-0.02766179544686631,0.03634901149452654,0.01298452551321813,-0.02167174156087832
0.002712036328834622,-0.017389306262482803,0.005975179718825606,0.008702090214822615
-0.034671141241258835,0.029339665700134018,0.06905929186835831,-0.06372781632723346
0.07280549427275985,-0.0687911754213613,-0.1085108015895856,0.1044964827381871
0.04944100829145145,-0.022062203458744486,-0.03140799785126785,0.0040291930185609335
-0.0042973094655578995,-0.005707063271828599,-0.03608089504752953,0.046085267784916076
0.026076522310143034,-0.0010341660755669166,-0.03140799785126785,0.006365641616691774
-0.051026281428174725,0.06672284327022747,0.024666768503872335,-0.04036333034592505
-0.0019608608674270603,-0.005707063271828599,0.029339665700134018,-0.021671741560878317
0.002712036328834624,0.005975179718825607,0.01298452551321813,-0.021671741560878317
-0.09308235619452987,0.05504060027957327,0.11812471242910598,-0.08008295651414934
0.012057830721357988,-0.00804351186995944,-0.019725754860613644,0.015711436009215138
0.01673072791761967,-0.02907154925313701,-0.04075379224379121,0.0530946135793086
-0.05803562722256725,0.06905929186835831,0.03167611429826486,-0.04269977894405589
0.01673072791761967,-0.05009958663631458,0.03167611429826486,0.0016927444204300921
-0.006633758063688743,0.04335835728891906,0.05737704887770411,-0.0941016481029344
-0.015979552456212107,-0.015052857664351963,0.0036387311206947655,0.027393678999869345
-0.022988898250604628,0.022330319905741493,0.06438639467209663,-0.06372781632723346
-0.034671141241258835,-0.015052857664351963,0.01765742270947981,0.03206657619613103
-0.015979552456212107,0.01765742270947981,0.022330319905741493,-0.02400819015900916
-0.008970206661819583,0.015320974111348971,0.010648076915087288,-0.016998844364616638
0.007384933525096305,-0.0010341660755669166,-0.022062203458744486,0.015711436009215138
-0.02766179544686631,0.04102190869078822,0.06438639467209663,-0.0777465079160185
0.030749419506404717,-0.02907154925313701,-0.05009958663631458,0.04842171638304692
-0.025325346848735473,-0.019725754860613644,0.024666768503872335,0.02038433320547682
0.03775876530079724,-0.06645472682323046,0.0036387311206947655,0.025057230401738503
0.028412970908273875,-0.015052857664351963,-0.04776313803818374,0.03440302479426187
-0.04635338423191304,0.05036770308331159,0.05504060027957327,-0.05905491913097178
-0.02766179544686631,0.024666768503872335,0.0340125628963957,-0.031017535953401683
-0.006633758063688742,-0.0010341660755669166,0.01765742270947981,-0.009989498570224114
-0.034671141241258835,0.05737704887770411,-0.0010341660755669166,-0.021671741560878317
